ID,Name,School
505672,Sam Jennings,Ball State
1180289,Sam Jennings,Grand Canyon University
1738193,Emily Thomas,State University of New York at Geneseo
1486326,Haley Griffin,Gannon
367281,Maggie Bilquin,Buffalo St.
909038,Elle Holland,University of Mary
1187007,Kelly Burns,Bridgewater State University
488837,Abigail Gibbons,Auburn University
1329797,Molly Miller,Union
853862,Caroline Anderson,Widener University
870101,Caroline Anderson,Pepperdine University
371972,Melina Hughes,University of New Mexico
2091614,Logan Anderson,University of Evansville
2091614,Logan Anderson,University of Evansville
359299,Sophia Perez,Duquesne
1083147,Adrian Aguilar,Macalester College
497024,Lauren Olson,Concordia University Irvine
377196,Caroline Eckel,UC Davis
484218,Sasha Liu,American
640854,Ethan Banks,Wheeling University
1308242,Sarah Alexander,Saint Vincent College
474783,Jack Rose,Carson-Newman
508325,Mitchell Johnson,University of Illinois at Chicago
508325,Mitchell Johnson,University of Illinois at Chicago
608624,Ian Johnson,Grinnell College
2052534,Kira Parker,Northeastern
653598,James Lyon,York College (Pennsylvania)
874235,Andrew Lee,Monmouth College
1180064,Andrew Lee,Linfield University
648804,Andrew Lee,University of Pennsylvania
1184921,Andrew Lee,Hanover
1305043,Andrew Lee,Lake Forest
329187,Molly Davis,Chapman
431630,Lauren Kelly,Denison
1329671,Patrick Boyle,Loyola University (Maryland)
382476,Michael Chang,Whitman College
342679,Stephen Johnson,Boston U
349069,Paige Mitchell,University of Massachusetts (Amherst)
325357,Kayla Smith,Pepperdine University
965393,Kayla Smith,University of Redlands
817873,Adam Smith,Arcadia University
375373,Mackenzie Thomas,UMBC
402906,Daniel Mullen,State University of New York at Cobleskill
1386301,Matthew Fritz,Washington and Lee University
809586,Luke Engel,Hamilton
664903,Joseph Bozzi,University of Tampa
1979624,Ethan Anderson,Quincy University
599501,Ethan Anderson,University of Wisconsin-Stevens Point
1406511,Lauren Thomas,Wheeling University
958221,Lauren Thomas,Trinity College (Connecticut)
1637602,Sam Smith,Southern Indiana
303272,Sam Smith,Loyola Marymount University
1158045,Emma Brady,Tulane University
481571,Ryan King,Susquehanna
635446,Ryan King,Arizona St
1426058,Molly Kennedy,Southern Conn
404986,Becca Lazerson,Rainey McCullers School
613696,Lauren Smith,Stevens Institute
2251174,Lauren Smith,Biola University
422854,Emma Stephenson,Oneonta State University
613335,Michael Lee,Rensselaer Polytechnic Institute
454429,Grace Carey,University of New Mexico
275642,Grace Carey,West Chester
440190,Ethan Shaw,Florida Southern
2086347,Riley Dafoe,Niagara
1417372,Joseph Clark,Delaware
1335800,Riley Parker,George Fox
638542,Maya Wilson,Frostburg State University
479105,Brooke Lamoureux,William & Mary
418407,Kelsea Wright,Dixie State
672162,Jonathan Tan,Stanford
1734113,Justin Wong,Dickinson
488854,Jessica Davis,Cincinnati
758550,Sean Foster,Saint Lawrence
869453,Evan Carlson,Barton
398248,Jacob Powell,Ball State
420472,Elinah Phillip,Florida Int'l
1330953,Audrey Dixon,Milwaukee
606004,Ethan Fox,Lewis
521965,Claire Campbell,Hamilton
593427,Emily Vasquez,Virginia Tech
286313,Lauren Ostrander,California State University East Bay
803327,Luke Davis,Mount Saint Mary's University (MD)
456916,Jack Van Meter,Allegheny
540840,Dylan White,U.S. Merchant Marine Academy
1860443,Emma Stewart,Berry College
268549,Joshua Brown,Salisbury University
568339,Olivia Stevenson,Wesleyan University
1340979,Hannah Hudson,Lees-McRae College
445823,Anna Tindall,Augustana College
446474,Morgan Beebe,UM Dartmouth
448083,Emily Rundahl,UW-Whitewater
448593,Jered Moore,SIUC (M)
427153,Kate Baker,University of the South (Sewanee)
470713,Emma Weber,Hood
369405,Emma Weber,Niagara
2709114,Emily Jones,University of Alabama
804840,Dalton Fink,Arcadia University
612354,Michael Foley,Louisiana State University
1261110,Ryan Maher,Maine Maritime
357093,Vincent Huang,Washington University (Missouri)
1330777,Mia Chang,Hunter
398158,Anna Weber,Calvin
1691736,Jack Ryan,University of Redlands
518027,Jason Lee,Seton Hall University
1428720,Jason Lee,Marywood
518027,Jason Lee,University of Connecticut
1594905,Elise Johnson,Wagner
292840,Sarah Brennan,Saint Michaels College
567847,Jack Rogers,New York University
479132,Jack Rogers,Monmouth University
519821,Gavin Rogers,Nebraska Wesleyan University
689957,Emma Taylor,Illinois Wesleyan University
461044,Robert Wagner,St Francis College Brooklyn (New York)
510861,Jeremy Kim,Wesleyan University
461256,Tayla Liddle,West Chester University
573564,John Carroll,Worcester Polytechnic Institute
463612,Viola Hasko,University of Connecticut
440219,Hunter Smith,Lynn
1508856,Kolos Nagy,West Chester
527059,Sarah Boyle,Saint Vincent College
488215,Jack Armstrong,Providence College
1529580,Jack Armstrong,Hartwick College
505600,Jake Mitchell,University of Florida
592105,Jake Mitchell,Saginaw Valley State University
505600,Jake Mitchell,University of Michigan
396208,Brandon Garcia,Buffalo St.
572180,Liam White,Wilkes
1452883,Ana Mashek,Colgate
641531,Riley Brown,Hendrix College
489091,Colton Smith,Susquehanna
377795,Luke Stuart,Texas A&M University
346698,Max White,Vassar College
777345,Ethan Wilson,Greensboro College
486944,Landon Morgan,"University of Olivet, The"
970915,Nathan Braun,Salisbury University
364359,Kevin Chen,Baruch
1208811,William Griffith,Warren Wilson
574639,Grace Cooper,Whittier College
551297,Megan Murphy,Incarnate Word
663038,Nicholas Edwards,Rose-Hulman Institute of Technology
1465091,Ethan Keyes,Wheaton College (Illinois)
2190841,Emma Walker,Mary Washington
399099,Emma Walker,South Carolina
438168,Julie Mason,Case Western
1248167,Jake Williams,Saint Mary's College of Maryland
271724,Jake Williams,West Virginia University
607822,Ella Martin,U.S. Air Force Academy
607822,Ella Martin,U.S. Air Force Academy
520042,Jack Meehan,University of California-Berkeley
430882,Sarah Nelson,Occidental College
2051773,Sarah Nelson,University of Missouri-St. Louis
1162262,Sarah Nelson,Randolph-Macon College
401305,Jerry Chen,Washington University (Missouri)
2304891,Matthew Cole,Hartwick College
455115,Jack Hamilton,University of Pennsylvania
455115,Jack Hamilton,University of Southern California
493774,Josh Roberts,Drew
623467,Sarah Daly,Connecticut College
495977,Lane Wagner,Illinois Wesleyan University
614434,Jack Anderson,University of Notre Dame
1285711,Mason Peck,Westminster College
527895,Anna Baker,State University of New York at Oswego
597959,Sydney Hall,Gardner-Webb University
413856,Sydney Hall,Mary Washington
627699,Brenna McLaughlin,Stony Brook
627699,Brenna McLaughlin,Canisius
705069,Andrew Johnson,Kings College (Pennsylvania)
505282,Portia Blackert,Dixie State
961023,Jordan Williams,Keene State College
1273755,Jenna Watson,Wells
376503,Hannah Hale,University of Lynchburg
839394,Filip Duric,Oklahoma Baptist University
839394,Filip Duric,St Francis College Brooklyn (New York)
508845,Helga Fodor,Florida Int'l
1352431,Emily Smith,Shippensburg University
1208635,Emily Smith,Whitman College
208252,Emily Smith,Bloomsburg
964965,Emily Smith,Westfield State University
511241,Meesha Montgomery,Augustana College
511361,Joseph Addison,Monmouth College
419512,Sarah Anderson,Fresno Pacific University
2531351,Sarah Anderson,Alfred
1755577,Emma Greene,Delta State
514174,Jack Johnson,Augustana University
406979,Jack Johnson,Bates
1188293,Nathan Johnson,Vassar College
520772,Marc Stern,Connecticut College
857547,Emma Jones,University of Redlands
1551799,Emma Jones,McDaniel College
1166876,Kaitlyn Sullivan,Ohio Northern
1489103,Sophie Anderson,Centre College
613802,Nicole Kenny,Scranton
522987,Jedi Morland Janes,St Francis College Brooklyn (New York)
851991,Trevor Johnson,Saint Michaels College
518103,Jacob Lafferty,University of Lynchburg
1494737,Greta Dunn,Grinnell College
502597,Jessica Gordon,Amherst
613328,Alexa Pappas,Ramapo College of New Jersey
943554,Ethan Smith,Denison
1121942,Ethan Smith,California Lutheran University
1229428,Ethan Smith,Ouachita Baptist University
943554,Ethan Smith,University of Utah
1158459,Ethan Smith,Long Island University
704741,Emily Greene,Pennsylvania Western-California
273423,Lia Campbell,U.S. Air Force Academy
273423,Lia Campbell,U.S. Air Force Academy
